cps19_votechoice,cps19_gender,cps19_age,cps19_province,cps19_education,education_level,gender,Age
Liberal Party,A woman,31,New Brunswick,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,28,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Bloc Québécois,A man,48,Quebec,Some university,University certificate or diploma below bachelor level,Male,45 to 54
ndp,A woman,63,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
ndp,A woman,31,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,29,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
ndp,A woman,29,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Bloc Québécois,A man,55,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Liberal Party,A woman,53,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
ndp,A man,26,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Liberal Party,A woman,36,Prince Edward Island,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Conservative Party,A man,46,New Brunswick,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
ndp,A man,64,Manitoba,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Green Party,A woman,62,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Don't know/ Prefer not to answer,A man,63,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
ndp,A man,53,Ontario,Some university,University certificate or diploma below bachelor level,Male,45 to 54
Don't know/ Prefer not to answer,A woman,40,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A man,60,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Conservative Party,A man,28,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
Conservative Party,A woman,56,Quebec,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A woman,64,Manitoba,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Conservative Party,A man,30,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Bloc Québécois,A woman,49,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Liberal Party,A woman,59,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Conservative Party,A woman,39,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A man,59,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,36,Quebec,Some secondary/ high school,Other,Female,35 to 44
Liberal Party,A man,43,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,35 to 44
Conservative Party,A woman,56,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Liberal Party,A woman,47,Quebec,Some university,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,60,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A woman,45,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,40,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Green Party,A man,28,Ontario,Some secondary/ high school,Other,Male,25 to 34
Conservative Party,A woman,45,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Don't know/ Prefer not to answer,A man,63,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
ndp,A man,34,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
ndp,A man,59,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Liberal Party,A woman,61,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Conservative Party,A man,40,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Liberal Party,A woman,60,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Bloc Québécois,A man,53,Quebec,Some university,University certificate or diploma below bachelor level,Male,45 to 54
Bloc Québécois,A man,63,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Bloc Québécois,A man,62,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Conservative Party,A man,32,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,25 to 34
ndp,A woman,26,Saskatchewan,Some secondary/ high school,Other,Female,25 to 34
ndp,A woman,34,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Green Party,A man,36,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,35 to 44
Green Party,A woman,51,New Brunswick,Some university,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,47,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,59,New Brunswick,Some secondary/ high school,Other,Female,55 to 64
Conservative Party,A woman,53,British Columbia,Some university,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A woman,61,Manitoba,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Conservative Party,A woman,55,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Conservative Party,A woman,58,Ontario,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A man,58,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,48,Newfoundland and Labrador,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Conservative Party,A man,33,Alberta,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Conservative Party,A man,59,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
ndp,A man,37,Alberta,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Liberal Party,A woman,28,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Liberal Party,A man,35,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Liberal Party,A man,42,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,35 to 44
Liberal Party,A woman,37,British Columbia,Some university,University certificate or diploma below bachelor level,Female,35 to 44
ndp,A man,25,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
Liberal Party,A woman,50,Manitoba,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A man,38,Manitoba,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Conservative Party,A woman,58,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
ndp,A man,43,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,35 to 44
Liberal Party,A woman,49,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A man,37,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,35 to 44
Conservative Party,A woman,33,New Brunswick,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,25 to 34
Conservative Party,A man,60,Alberta,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
Liberal Party,A man,32,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
Green Party,A man,33,British Columbia,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Conservative Party,A woman,26,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
ndp,A woman,28,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
